normalized_name,counts
vanilla,30
pineapple juice,30
coffee,30
fresh thyme leaf,30
fresh basil,30
monkfish,30
sugar snap pea,30
lamb shoulder,30
chorizo,30
celery leaf,30
swordfish,29
firm tofu,29
fresh lime juice,29
sweet onion,29
pork chop,29
powdered sugar,29
pomegranate seed,29
light cream,29
cashew,29
phyllo dough,29
calvados,28
fettuccine,28
almond flour,28
wine,28
pecan half,28
lemon wedge,28
white mushroom,28
kirby cucumber,28
semisweet chocolate,28
fish broth,28
breadcrumb,28
asparagus spear,28
water chestnut,27
yellow pepper,27
coarse salt,27
red snapper,27
black truffle,27
sea bass,27
tomato juice,27
coarse kosher salt,27
sauerkraut,27
sichuan peppercorn,27
dry mustard,27
margarine,27
mascarpone,27
rolled oat,27
marinara sauce,27
lime wedge,27
porcini mushroom,26
baby artichoke,26
wild rice,26
pomegranate molasses,26
pecorino romano,26
vegetable,26
flat leaf parsley leaf,26
champagne,26
trout,26
club soda,26
barley,26
ground cumin,26
garam masala,26
bread flour,26
ice cube,26
salad green,26
savoy cabbage,26
fleur de sel,26
portobello mushroom,26
grated parmesan,25
flaky sea salt,25
safflower oil,25
superfine sugar,25
lamb shank,25
caviar,25
wine vinegar,25
chili paste,25
harissa,25
aleppo pepper,25
red chile flake,25
salt pork,25
bay scallop,25
chanterelle,25
dried apricot,25
green garlic,25
garlic powder,25
grapefruit juice,25
tuna steak,25
cointreau,24
sorrel,24
blood orange,24
smoked salmon,24
crab,24
haricot verts,24
pistachio nut,24
syrup,24
boston lettuce,24
wild mushroom,24
ricotta salata,24
chocolate chip,24
large onion,24
salt to taste,24
nam pla,24
champagne vinegar,24
acorn squash,24
potato starch,24
cantaloupe,23
leaf,23
angostura bitter,23
arugula leaf,23
mace,23
ground ginger,23
shortening,23
italian sausage,23
spring onion,23
pie shell,23
rose water,23
baking potato,23
melted butter,23
sauce,23
freshly ground pepper,23
lime leaf,23
sweet pepper,23
salt and white pepper,23
pernod,23
green chili,23
chicken wing,22
cream of tartar,22
poppy seed,22
whole wheat pastry flour,22
green chilies,22
veal stock,22
chicken or vegetable stock,22
yellow squash,22
chili oil,22
hot pepper flake,22
summer squash,22
lima bean,22
clam juice,22
red chili flake,22
kaffir lime leaf,22
penne,22
pork tenderloin,22
cannellini bean,22
white turnip,22
ground pepper,22
cardamom seed,22
oyster sauce,22
chopped tomato,22
iceberg lettuce,21
unsweetened chocolate,21
live lobster,21
kirsch,21
cod fillet,21
black eyed pea,21
hoisin sauce,21
serrano chilies,21
fresh dill,21
sweet corn,21
tortilla,21
whole clove,21
dried oregano,21
candied ginger,21
escarole,21
kalamata olive,21
farro,21
crouton,21
pecorino cheese,21
bass,21
napa cabbage,21
marjoram leaf,20
garlic minced,20
espresso,20
daikon radish,20
almond extract,20
raw brown sugar,20
cornish hen,20
boiling water,20
bamboo shoot,20
baby arugula,20
rice noodle,20
papaya,20
salt cod,20
orange rind,20
green peppercorn,20
bosc pear,20
flour tortilla,20
demerara sugar,20
rice flour,20
beet green,20
flank steak,20
sirloin,20
venison,20
brioche,20
cold water,20
salt and freshly ground black pepper,20
pesto,19
ground beef,19
black mustard seed,19
cornichons,19
coarse sea salt,19
ground clove,19
bibb lettuce,19
grated nutmeg,19
rutabaga,19
broccoli floret,19
pimenton,19
serrano pepper,19
pheasant,19
poblano pepper,19
cooked rice,19
red chile,19
chopped onion,19
tahini,19
chile powder,19
dijon style mustard,19
celery seed,19
hot pepper,19
panko,19
mesclun,19
pomegranate,19
tequila,19
kidney bean,19
crabmeat,19
anise seed,19
broccoli crown,18
chile,18
large garlic clove,18
fresh sage,18
orzo,18
coconut oil,18
monterey jack cheese,18
pearl onion,18
dry bread crumb,18
edamame,18
sardine,18
whipping cream,18
sour cherry,18
duck fat,18
chili sauce,18
chard,18
navel orange,18
italian plum tomato,18
lime zest,18
pink peppercorn,18
bok choy,18
green apple,18
seltzer,17
chopped chive,17
brisket,17
barbecue sauce,17
rye flour,17
calamata olive,17
fennel frond,17
pita bread,17
serrano,17
freshly grated nutmeg,17
fresh tarragon,17
five spice powder,17
skim milk,17
queso fresco,17
madeira,17
green tomato,17
sumac,17
veal shank,17
pizza dough,17
chuck,17
oyster mushroom,17
cremini mushroom,17
sriracha,17
campari,17
chopped scallion,17
smoked paprika,17
pork belly,17
red chili,17
arrowroot,17
navy bean,17
pomegranate juice,17
sole,17
serrano chili,17
minced shallot,17
grape seed oil,17
ghee,17
chopped fresh parsley,17
port,17
chili flake,16
fontina cheese,16
fresh oregano,16
raspberry vinegar,16
jalapeno chili,16
small onion,16
tamarind paste,16
sweet vermouth,16
bacon fat,16
orange flower water,16
apricot preserve,16
yam,16
white chocolate,16
long grain rice,16
apple juice,16
armagnac,16
masa harina,16
fish fillet,16
frisee,16
flounder,16
beef chuck,16
sunflower seed,16
halibut fillet,16
swiss cheese,15
kosher salt and black pepper,15
dark sesame oil,15
mustard green,15
dark soy sauce,15
chicken breast half,15
nectarine,15
fresh cilantro,15
italian parsley leaf,15
graham cracker,15
meyer lemon,15
lukewarm water,15
salsa,15
evaporated milk,15
button mushroom,15
red lentil,15
fresh basil leaf,15
shad,15
liqueur,15
matzoh meal,15
octopus,15
unsweetened cocoa powder,15
white flour,15
agave syrup,15
orange liqueur,15
cooking oil,15
buckwheat flour,15
savory,15
herbes de provence,15
cottage cheese,15
celery stalk,15
bay,15
freshly squeezed lemon juice,15
jalapeno chilies,15
ancho chilies,15
sweet italian sausage,15
triple sec,15
hazelnut oil,15
tonic water,15
freshly grated parmesan cheese,15
ground coriander,15
pecorino,14
chorizo sausage,14
head garlic,14
dried cranberry,14
tangerine,14
green lentil,14
smoked trout,14
onion powder,14
small red onion,14
crumbled feta,14
beef short rib,14
ginger juice,14
skate wing,14
sorrel leaf,14
warm water,14
smoked bacon,14
pimento,14
juice,14
ice cream,14
herb bouquet,14
walnut half,14
truffle,14
oatmeal,14
crusty bread,14
tarragon vinegar,14
porcini,14
apricot jam,14
raspberry jam,14
hamburger bun,14
hot red pepper,14
hot pepper sauce,14
thyme sprig,14
sesame paste,14
jumbo shrimp,14
semolina flour,14
graham cracker crumb,14
soba noodle,14
piquillo pepper,14
virgin olive oil,13
salmon caviar,13
thai basil,13
condensed milk,13
white miso,13
bitter,13
sherry wine vinegar,13
pepper sauce,13
nicoise olive,13
chicken fat,13
hominy,13
calf s liver,13
meat,13
chervil leaf,13
anchovy paste,13
beef brisket,13
kohlrabi,13
pork sausage,13
lean beef,13
lump crab meat,13
celery salt,13
chickpea flour,13
mache,13
sausage meat,13
chile flake,13
mascarpone cheese,13
instant yeast,13
sesame tahini,13
soft shell crab,13
italian tomato,13
white peppercorn,13
pinto bean,13
pepper flake,13
matzo meal,13
farfalle,13
string bean,13
light soy sauce,13
skirt steak,13
absinthe,13
pork butt,13
rom tomato,13
maraschino liqueur,13
lobster meat,13
chopped walnut,13
green chile,13
minced chive,13
romaine,13
tapioca,13
fingerling potato,13
green chili pepper,13
applesauce,13
waxy potato,13
cranberry bean,12
pie crust,12
jerusalem artichoke,12
yellow mustard seed,12
unflavored gelatin,12
mustard powder,12
fresh mozzarella,12
elbow macaroni,12
chipotle,12
chopped fresh mint,12
maraschino cherry,12
pecorino romano cheese,12
baby bok choy,12
hard boiled egg,12
dandelion green,12
ground nutmeg,12
jalapeno chile,12
ramp,12
black rice,12
plantain,12
cilantro sprig,12
hungarian paprika,12
short rib,12
mung bean sprout,12
english pea,12
orange marmalade,12
squab,12
vermouth,12
curry leaf,12
grappa,12
chopped garlic,12
finely chopped onion,12
cheddar,12
ground cardamom,12
thai chilies,12
freshly squeezed lime juice,12
rib celery,12
sharp cheddar cheese,12
white rum,12
kombu,12
cold unsalted butter,12
turbinado sugar,12
stale bread,12
truffle oil,12
red currant jelly,12
scallion green,12
jam,12
soda water,12
shad roe,12
green cardamom pod,12
confectioner s sugar,12
frozen pea,12
oxtail,12
phyllo,12
grit,12
jasmine rice,12
corn peanut or vegetable oil,12
walnut meat,12
chick pea,12
red bean,11
tortilla chip,11
turkey stock,11
pappardelle,11
shell bean,11
lean pork,11
whole milk yogurt,11
foie gras,11
gorgonzola,11
red food coloring,11
head cauliflower,11
miso,11
brown lentil,11
dried mushroom,11
medium carrot,11
fresh mint leaf,11
large carrot,11
ziti,11
lasagna noodle,11
nut,11
shiitake,11
water chicken stock or vegetable stock,11
low fat yogurt,11
tamari,11
pink grapefruit,11
star anise pod,11
minced ginger,11
liquid,11
blue crab,11
light rum,11
dark chocolate,11
garlic crouton,11
orange bitter,11
cider,11
finely chopped parsley,11
ground allspice,11
hot water,11
dried thyme,11
loin of pork,11
roasted peanut,11
fresh spinach,11
italian bread,11
bonito flake,11
ham hock,11
medjool date,11
blanched almond,11
fine cornmeal,11
dried currant,11
galangal,11
hot paprika,11
black sesame seed,11
chopped fresh dill,11
chopped fresh herb,11
andouille sausage,11
rice vermicelli,11
garlic peeled,11
red kidney bean,11
pea shoot,11
plain greek yogurt,11
preserved lemon,11
celeriac,11
pure vanilla extract,10
black sea bass,10
kasha,10
dough,10
loin lamb chop,10
gingerroot,10
coconut cream,10
minced fresh ginger,10
bluefish,10
codfish,10
blood orange juice,10
steak,10
nuoc mam,10
honeydew melon,10
sunflower oil,10
salt and freshly ground pepper,10
creme de cassis,10
asafetida,10
green grape,10
pearl barley,10
red pepper sauce,10
fromage blanc,10
chopped flat leaf parsley,10
kumquat,10
fruity red wine,10
beefsteak tomato,10
ladyfinger,10
asian fish sauce,10
turkey meat,10
ginger beer,10
white bread crumb,10
unsweetened coconut milk,10
ha avocado,10
bread cube,10
unsweetened cocoa,10
romaine lettuce leaf,10
chipotle chilies,10
ruby port,10
french baguette,10
broken walnut,10
riesling,10
orange blossom water,10
cranberry juice,10
new potato,10
seed,10
chili pepper flake,10
ground lamb,10
dried fig,10
chia seed,10
white truffle,10
sweetened condensed milk,10
marsala,10
ground turmeric,10
spaghetti squash,10
barberry,10
agave nectar,10
scotch,10
drained yogurt,10
mackerel,10
whole grain mustard,10
bulgur wheat,10
grated lemon zest,10
amontillado sherry,10
english cucumber,10
lemon twist,10
ripe banana,10
shrimp paste,10
ground pork,10
whole wheat bread,10
fresh bread crumb,10
hard cooked egg,10
tangerine juice,10
