food_code,name,group,protein,fat,carbs,energy,fibre
167615,"Fish, salmon, king, chinook, smoked, brined (Alaska Native)",24,39.9,30.0,0.0,430.0,0.0
167616,"Fish, salmon, king, chinook, liver (Alaska Native)",24,16.6,8.0,4.3,156.0,
167617,"Duck, scoter, white-winged, meat (Alaska Native)",24,20.2,0.4,0.0,84.0,
167618,"Sea cucumber, yane (Alaska Native)",24,13.0,0.4,0.0,56.0,
167619,"Squirrel, ground, meat (Alaska Native)",24,19.3,3.8,0.0,111.0,
167620,"Tea, tundra, herb and laborador combination (Alaska Native)",24,0.0,0.0,0.2,1.0,
167621,"Walrus, meat, dried (Alaska Native)",24,57.0,2.6,0.0,251.0,
167622,"Deer (venison), sitka, raw (Alaska Native)",24,21.5,2.66,0.0,116.0,
167623,"Whale, bowhead, subcutaneous fat (blubber) (Alaska Native)",24,0.4,96.5,0.0,870.0,
167624,"Whale, bowhead, skin and subcutaneous fat (muktuk) (Alaska Native)",24,12.6,46.1,0.0,465.0,
167625,"Oil, whale, bowhead (Alaska Native)",24,0.0,100.0,0.0,900.0,
167626,"Fish, whitefish, broad, liver (Alaska Native)",24,11.0,4.4,5.1,104.0,
167627,"Mush, blue corn with ash (Navajo)",24,0.66,0.49,11.74,54.0,1.1
167628,"Cornmeal, blue (Navajo)",24,10.4,5.44,76.93,398.0,8.7
167629,"Melon, banana (Navajo)",24,0.84,0.2,4.06,21.0,0.3
167630,Chilchen (Red Berry Beverage) (Navajo),24,0.81,0.63,8.68,44.0,
167631,"Corn, dried (Navajo)",24,9.88,5.22,74.93,386.0,
167632,"Squash, Indian, cooked, boiled (Navajo)",24,0.31,0.15,3.22,16.0,1.5
167633,"Bread, kneel down (Navajo)",24,4.29,2.21,39.47,195.0,
167634,"Mutton, cooked, roasted (Navajo)",24,33.43,11.09,0.08,234.0,
167635,"Frybread, made with lard (Navajo)",24,6.69,12.22,48.26,330.0,
167636,Tamales (Navajo),24,6.28,6.12,18.12,153.0,3.1
167637,"Stew, steamed corn (Navajo)",24,8.82,3.75,10.8,112.0,2.3
167638,"Fish, halibut, raw, with skin (Alaska Native)",24,20.53,2.92,1.81,116.0,0.0
167639,"Fish, salmon, coho (silver), raw (Alaska Native)",24,22.56,5.57,0.0,140.0,0.0
167640,"Blueberries, wild, raw (Alaska Native)",24,1.22,0.76,12.31,61.0,2.6
167641,"Oil, spotted seal (Alaska Native)",24,0.0,99.32,0.0,894.0,0.0
167642,"Fish, salmon, red, canned, bones removed (Alaska Native)",24,27.31,5.76,0.0,161.0,0.0
167643,"Fish, whitefish, eggs (Alaska Native)",24,14.66,2.88,4.89,104.0,0.0
167644,"Caribou, rump meat, half dried (Alaska Native)",24,52.06,5.23,0.0,255.0,0.0
167645,"Fish, salmon, red, (sockeye), canned, smoked (Alaska Native)",24,35.19,7.26,0.0,206.0,0.0
167646,"Fish, salmon, red, (sockeye), kippered (Alaska Native)",24,24.5,4.75,0.0,141.0,0.0
167647,"Fish, salmon, king, with skin, kippered, (Alaska Native)",24,23.19,12.95,0.0,209.0,0.0
167648,"Fish, sheefish, raw (Alaska Native)",24,22.25,2.84,0.0,115.0,0.0
167649,"Buffalo, free range, top round steak, raw (Shoshone Bannock)",24,21.44,1.3,0.0,97.0,
167650,"Seal, bearded (Oogruk), meat, partially dried (Alaska Native)",24,62.38,2.31,0.0,270.0,
167651,"Buffalo, free range, top round steak, cooked (Shoshone Bannock)",24,32.51,1.8,0.0,146.0,
167652,"Elk, free range, roast, eye of round, raw (Shoshone Bannock)",24,19.74,2.1,0.0,98.0,0.0
167653,"Corn, dried, yellow (Northern Plains Indians)",24,14.48,10.64,66.27,419.0,20.5
167654,"Smelt, dried (Alaska Native)",24,56.19,17.9,0.0,386.0,0.0
167655,"Frybread, made with lard (Apache)",24,8.38,10.14,46.01,309.0,1.7
167656,Corned beef and potatoes in tortilla (Apache),24,7.91,8.31,29.35,224.0,1.5
167657,"ON THE BORDER, soft taco with ground beef, cheese and lettuce",25,13.19,11.05,19.28,229.0,1.8
167658,"Restaurant, Mexican, soft taco with ground beef, cheese and lettuce",25,12.56,10.81,17.92,219.0,1.5
167659,"Restaurant, Latino, chicken and rice, entree, prepared",25,12.02,5.06,20.03,174.0,1.2
167660,"Restaurant, Latino, empanadas, beef, prepared",25,11.31,18.37,31.19,335.0,2.0
167661,"Restaurant, Latino, pupusas con frijoles (pupusas, bean)",25,5.59,9.01,31.49,229.0,5.8
167662,"Restaurant, Latino, pupusas con queso (pupusas, cheese)",25,11.72,13.25,22.39,256.0,2.9
167663,"Restaurant, Latino, pupusas del cerdo (pupusas, pork)",25,11.51,10.43,23.02,232.0,2.6
167664,"Restaurant, Latino, tamale, corn",25,3.48,7.21,26.68,186.0,3.2
167665,"Restaurant, Mexican, spanish rice",25,3.28,5.29,31.16,185.0,1.2
167666,"Restaurant, Mexican, refried beans",25,6.91,6.77,16.79,156.0,8.0
167667,"Restaurant, Chinese, egg rolls, assorted",25,8.28,11.94,27.29,250.0,2.6
167668,"Restaurant, Chinese, fried rice, without meat",25,4.05,2.96,32.79,174.0,1.1
167669,"CRACKER BARREL, steak fries",25,3.26,13.18,30.87,255.0,3.5
167670,"CRACKER BARREL, grilled sirloin steak",25,31.52,8.52,0.0,203.0,
167671,"CRACKER BARREL, macaroni n' cheese plate, from kid's menu",25,6.46,11.51,15.58,192.0,0.7
167672,"DENNY'S, french fries",25,3.41,14.13,35.2,282.0,3.5
167673,"DENNY'S, top sirloin steak",25,28.9,7.34,0.14,182.0,
167674,"Restaurant, Chinese, lemon chicken",25,11.87,13.55,20.61,252.0,1.0
167675,"Restaurant, Chinese, general tso's chicken",25,12.9,16.36,23.99,295.0,0.9
167676,"Restaurant, Chinese, kung pao chicken",25,9.76,6.98,6.87,129.0,1.5
167677,"Restaurant, Chinese, vegetable lo mein, without meat",25,4.77,2.35,20.16,121.0,1.3
167678,"Restaurant, Chinese, chicken and vegetables",25,8.18,4.56,5.38,95.0,0.9
167679,"Restaurant, Chinese, orange chicken",25,14.46,12.68,22.46,262.0,0.8
167680,"Restaurant, Italian, spaghetti with meat sauce",25,5.79,3.59,16.4,121.0,1.6
167681,"Beverages, fruit-flavored drink, dry powdered mix, low calorie, with aspartame",14,0.45,0.04,87.38,218.0,0.1
167682,"Pectin, liquid",19,0.0,0.0,2.1,11.0,2.1
167683,"Frozen novelties, ice cream type, vanilla ice cream, light, no sugar added, chocolate coated",19,6.4,10.1,26.11,221.0,0.8
